id_lien,trafic_max,trafic_out,tdc,equipement,interface_equipement,role_A,configuration_A,client,interface_client,role_B,configuration_B,capacite_lien,isis_level,isis_metric,region_exploitation,date,intervalle_charge
PTN00820_PTN00821,9.8864326171875,9.8864326171875,24.71608154296875,PTN00820,lag-21,B,7750-SR7,PTN00821,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00820_PTN00821,9.8864326171875,9.8864326171875,24.71608154296875,PTN00820,lag-21,B,7750-SR7,PTN00821,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00820_PTN00821,9.8864326171875,9.8864326171875,24.71608154296875,PTN00820,lag-21,B,7750-SR7,PTN00821,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00820_PTN00821,9.8864326171875,9.8864326171875,24.71608154296875,PTN00820,lag-21,B,7750-SR7,PTN00821,lag-21,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00006_PTN01931,0.5537640380859375,0.3536370849609375,5.537640380859375,PTN00006,lag-24,A,7750-SR12,PTN01931,lag-24,A,7750-SR12,10,1,10,IDF,2022-08-01,Inf 70%
PTN00027_PTN00483,25.42740625,25.42740625,63.568515624999996,PTN00027,lag-25,A,7750-SR12,PTN00483,lag-25,A,7750-SR12,40,1,10,WST,2022-08-01,Inf 70%
PTN00027_PTN00483,25.42740625,25.42740625,63.568515624999996,PTN00027,lag-25,A,7750-SR12,PTN00483,lag-25,A,7750-SR12,40,1,10,WST,2022-08-01,Inf 70%
PTN00027_PTN00483,25.42740625,25.42740625,63.568515624999996,PTN00027,lag-25,A,7750-SR12,PTN00483,lag-25,A,7750-SR12,40,1,10,WST,2022-08-01,Inf 70%
PTN00027_PTN00483,25.42740625,25.42740625,63.568515624999996,PTN00027,lag-25,A,7750-SR12,PTN00483,lag-25,A,7750-SR12,40,1,10,WST,2022-08-01,Inf 70%
PTN00196_PTN00546,1.122763916015625,1.122763916015625,3.7425463867187503,PTN00196,lag-23,A,7750-SR12,PTN00546,lag-23,A,7750-SR12,30,1,10,NOE,2022-08-01,Inf 70%
PTN00196_PTN00546,1.122763916015625,1.122763916015625,3.7425463867187503,PTN00196,lag-23,A,7750-SR12,PTN00546,lag-23,A,7750-SR12,30,1,10,NOE,2022-08-01,Inf 70%
PTN00196_PTN00546,1.122763916015625,1.122763916015625,3.7425463867187503,PTN00196,lag-23,A,7750-SR12,PTN00546,lag-23,A,7750-SR12,30,1,10,NOE,2022-08-01,Inf 70%
PTN00027_PTN00334,0.467623779296875,0.16555691528320313,2.338118896484375,PTN00027,lag-28,A,7750-SR12,PTN00334,lag-28,A,7750-SR12,20,1,10,WST,2022-08-01,Inf 70%
PTN00027_PTN00334,0.467623779296875,0.16555691528320313,2.338118896484375,PTN00027,lag-28,A,7750-SR12,PTN00334,lag-28,A,7750-SR12,20,1,10,WST,2022-08-01,Inf 70%
PTN00034_PTN00042,1.4407425537109375,0.24921800231933594,4.802475179036458,PTN00034,lag-24,B,7750-SR7,PTN00042,lag-24,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN00034_PTN00042,1.4407425537109375,0.24921800231933594,4.802475179036458,PTN00034,lag-24,B,7750-SR7,PTN00042,lag-24,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN00034_PTN00042,1.4407425537109375,0.24921800231933594,4.802475179036458,PTN00034,lag-24,B,7750-SR7,PTN00042,lag-24,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN01931_PTN00773,0.7681141357421875,0.3921729736328125,7.681141357421875,PTN01931,lag-21,B,7750-SR7,PTN00773,lag-21,B,7750-SR7,10,1,10,IDF,2022-08-01,Inf 70%
PTN00188_PTN00187,4.8977666015625,0.6174993896484375,16.325888671875,PTN00188,lag-20,B,7750-SR7,PTN00187,lag-20,B,7750-SR7,30,1,10,IDF,2022-08-01,Inf 70%
PTN00188_PTN00187,4.8977666015625,0.6174993896484375,16.325888671875,PTN00188,lag-20,B,7750-SR7,PTN00187,lag-20,B,7750-SR7,30,1,10,IDF,2022-08-01,Inf 70%
PTN00188_PTN00187,4.8977666015625,0.6174993896484375,16.325888671875,PTN00188,lag-20,B,7750-SR7,PTN00187,lag-20,B,7750-SR7,30,1,10,IDF,2022-08-01,Inf 70%
PTN00972_PTN02007,2.20040087890625,0.06007904815673828,7.334669596354167,PTN00972,lag-21,B,7750-SR7,PTN02007,lag-21,B,7750-SR7,30,1,10,SWT,2022-08-01,Inf 70%
PTN00972_PTN02007,2.20040087890625,0.06007904815673828,7.334669596354167,PTN00972,lag-21,B,7750-SR7,PTN02007,lag-21,B,7750-SR7,30,1,10,SWT,2022-08-01,Inf 70%
PTN00972_PTN02007,2.20040087890625,0.06007904815673828,7.334669596354167,PTN00972,lag-21,B,7750-SR7,PTN02007,lag-21,B,7750-SR7,30,1,10,SWT,2022-08-01,Inf 70%
PTN00823_PTN01082,21.602876953125,21.602876953125,54.007192382812505,PTN00823,lag-20,B,7750-SR7,PTN01082,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00823_PTN01082,21.602876953125,21.602876953125,54.007192382812505,PTN00823,lag-20,B,7750-SR7,PTN01082,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00823_PTN01082,21.602876953125,21.602876953125,54.007192382812505,PTN00823,lag-20,B,7750-SR7,PTN01082,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00823_PTN01082,21.602876953125,21.602876953125,54.007192382812505,PTN00823,lag-20,B,7750-SR7,PTN01082,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00023_PTN00021,5.79138720703125,1.536071044921875,14.478468017578125,PTN00023,lag-21,A,7750-SR12,PTN00021,lag-21,A,7750-SR12,40,1,10,IDF,2022-08-01,Inf 70%
PTN00023_PTN00021,5.79138720703125,1.536071044921875,14.478468017578125,PTN00023,lag-21,A,7750-SR12,PTN00021,lag-21,A,7750-SR12,40,1,10,IDF,2022-08-01,Inf 70%
