nom_equipement,port,interface_netwk,isis_level,isis_metric
PTN00849,4/2/1,TO_PTN01298_1/1/7,NA,NA
PTN01329,1/2/7,TO_PTN02270_1/1/1,NA,NA
PTN00255,9/1/10,TO_PTN00256_LAG20,1,11
PTN00701,1/1/7,TO_PTN00699_1/1/7,NA,NA
PTN00037,2/1/2,TO_PTN00038_LAG21_WDM_FTTA,1,10
PTN00623,2/1/1,TO_PTN00217_LAG23,1,10
PTN02352,1/2/3,TO_PTN01462_1/8/5,1,100
PTN00495,1/1/7,TO_PTN00069_4/1/19,NA,NA
PTN00016,1/1/2,TO_PTN00172_2/1/1,1,40
PTN02379,1/1/1,TO_PTN02394_LAG21,1,10
PTN00095,2/1/2,TO_PTN00041_3/1/3,1,10
PTN00266,2/1/2,TO_PTN00267_LAG_1,1,11
PTN00009,1/1/1,TO_PTN00010_LAG_23,1,10
PTN00892,2/1/4,TO_PTN01460_LAG21,1,100
PTN00258,9/1/5,TO_PTN02336_LAG-24,1,10
PTN00893,2/2/1,TO_PTN01461_LAG20,1,100
PTN00914,3/2/15,TO_PTN01791_1/3/7,1,100
PTN01765,1/1/6,TO_PTN01816_1/1/1,non trouve,non trouve
PTN00262,2/1/2,TO_PTN00315_1/1/1:4,1,1000
PTN00793,1/1/1,TO_PTN00523_LAG22,1,10
PTN01171,1/1/7,TO_PTN00679_4/2/1,NA,NA
PTN00110,4/2/2,TO_PTN00111_LAG20,1,10
PTN00446,2/2/4,TO_PTN00448_3/2/1,1,180
PTN00043,1/1/1,TO_PTN00044_LAG_20,1,10
PTN00737,1/2/5,TO_PTN02264_1/2/5,1,10
PTN00333,1/1/2,TO_PTN00686_LAG20,1,10
PTN00125,4/2/13,TO_PTN01393_1/1/7,non trouve,non trouve
PTN01297,1/1/7,TO_PTN00142_3/2/8,NA,NA
PTN00022,2/1/1,TO_PTN00017_LAG_24,1,10
PTN00646,2/1/3,TO_PTN00259_LAG25,1,10
PTN00038,2/1/1,TO_PTN00041_LAG_24,1,10
PTN00233,1/1/7,TO_PTN00069_4/1/21,NA,NA
PTN00102,4/2/1,TO_PTN00948_1/1/7,NA,NA
PTN01213,1/3/7,TO_PTN02304_1/1/1,NA,NA
PTN02456,1/3/1,TO_PTN01151_1/3/8,1,1000
PTN00303,1/2/7,TO_PTN01473_1/1/7,NA,NA
PTN00128,4/1/1,TO_PTN00127_LAG23,1,10
PTN00617,1/1/7,TO_PTN00144_4/1/20,NA,NA
PTN00750,1/3/8,TO_PTN00335_5/1/17,NA,NA
PTN00141,2/1/1,TO_PTN00142_LAG_21,1,10
PTN00508,5/1/8,TO_PTN01908_1/2/6,non trouve,non trouve
PTN01226,2/1/4,TO_PTN00774_LAG25,1,10
PTN00272,1/2/5,TO_PTN00411_1/1/7,NA,NA
PTN00540,4/2/15,TO_PTN00541_4/2/10,1,50
PTN00005,7/1/3,TO_PTN00007_3/1/1,1,11
PTN00629,2/1/1,TO_PTN00773_LAG24,1,10
PTN00458,1/1/2,TO_PTN00460_LAG22,1,50
PTN00549,4/2/3,TO_PTN01159_1/1/7,NA,NA
PTN02412,1/1/1,TO_PTN01427_4/2/9,NA,NA
PTN00905,1/1/1,TO_PTN02336_LAG-20,1,10
PTN02380,1/1/1,TO_PTN00215_4/2/4,NA,NA
PTN00258,6/1/7,TO_PTN00259_LAG20,1,11
PTN00923,4/2/1,TO_PTN00663_3/1/3,1,100
